SCORE	PATH	SYMBOL	START	END	IDENTITY	ACL	FILTER	RETRIEVAL	BACKEND	RERANK	CONTEXT	CALLS
10	backend/onyx/connectors/github/connector.py	GithubConnector.retrieve_all_slim_docs_perm_sync	1309	1315	0	1	0	2	0	0	0	self._retrieve_slim_docs
10	backend/onyx/connectors/google_drive/connector.py	GoogleDriveConnector.retrieve_all_slim_docs	2178	2186	0	1	0	2	0	0	0	self._retrieve_all_slim_docs_impl
10	backend/onyx/connectors/google_drive/connector.py	GoogleDriveConnector.retrieve_all_slim_docs_perm_sync	2188	2196	0	1	0	2	0	0	0	self._retrieve_all_slim_docs_impl
10	backend/onyx/connectors/jira/connector.py	JiraConnector.retrieve_all_slim_docs_perm_sync	896	904	0	1	0	2	0	0	0	self._retrieve_all_slim_docs
10	backend/onyx/connectors/linear/connector.py	_make_query	50	78	0	1	0	2	0	0	0	RuntimeError,logger.warning,range,requests.post
10	backend/onyx/connectors/teams/connector.py	_add_prefer_header	516	523	0	0	1	2	0	0	0	hasattr
10	backend/onyx/db/document.py	count_documents_by_needs_sync	74	95	0	0	1	2	0	0	0	DbDocument.last_synced.is_,count,filter,or_,session.query
10	backend/onyx/db/document.py	_apply_name_cursor_filter_asc	525	541	0	0	1	2	0	0	0	and_,or_,stmt.where
10	backend/onyx/db/document.py	_apply_name_cursor_filter_desc	544	560	0	0	1	2	0	0	0	and_,or_,stmt.where
10	backend/onyx/db/file_record.py	get_filerecord_by_prefix	90	98	0	0	1	2	0	0	0	FileRecord.file_id.like,all,db_session.query,filter
10	backend/onyx/db/input_prompt.py	fetch_public_input_prompts	166	170	0	0	0	2	0	0	4	all,db_session.scalars,list,select,where
10	backend/onyx/db/llm.py	update_default_contextual_model	1212	1242	0	0	0	1	0	0	7	ValueError,_update_default_model,add_model_to_flow,db_session.get,update_no_default_contextual_rag_provider
10	backend/onyx/db/persona.py	_mark_files_need_persona_sync	1542	1553	0	0	1	1	1	0	0	UserFile.id.in_,db_session.query,filter,update
10	backend/onyx/document_index/opensearch/opensearch_document_index.py	OpenSearchIndexPair.update	1074	1092	0	1	0	2	0	0	0	SecondaryIndexDocumentMissingError,self._primary.update,self._secondary.update
10	backend/onyx/evals/one_off/create_braintrust_dataset.py	parse_csv_file	40	134	0	0	1	2	0	0	0	column_letter_to_index,csv.reader,enumerate,file.readlines,len,open,records.extend,strip,upper
10	backend/onyx/redis/redis_connector.py	RedisConnector.db_lock_key	78	84	0	1	0	2	0	0	0	-
